Vivado Simulator 2018.3
Time resolution is 1 ps
A:x, B:x, Cin:x --> S:x Cout:x
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
A:1, B:0, Cin:0 --> S:1 Cout:0
A:1, B:0, Cin:1 --> S:0 Cout:1
A:1, B:1, Cin:0 --> S:0 Cout:1
A:1, B:1, Cin:1 --> S:1 Cout:1
A:0, B:0, Cin:0 --> S:0 Cout:0
A:0, B:0, Cin:1 --> S:1 Cout:0
A:0, B:1, Cin:0 --> S:1 Cout:0
A:0, B:1, Cin:1 --> S:0 Cout:1
